image1;image2;similar;elapsed
/app/tests/img/img-006.gif;/app/tests/img/img-010.jpg;1;1.45
/app/tests/img/img-006.gif;/app/tests/img/img-011.jpg;1;0.98
/app/tests/img/img-006.gif;/app/tests/img/img-012.jpg;1;1.02
/app/tests/img/img-006.gif;/app/tests/img/img-013.jpg;1;1.13
/app/tests/img/img-007.jpeg;/app/tests/img/img-001.jpeg;1;1.18
/app/tests/img/img-007.jpeg;/app/tests/img/img-002.png;1;1.24
/app/tests/img/img-007.jpeg;/app/tests/img/img-003.gif;1;1.2
/app/tests/img/img-007.jpeg;/app/tests/img/img-004.jpeg;1;1.07
/app/tests/img/img-007.jpeg;/app/tests/img/img-005.png;1;1.1
/app/tests/img/img-007.jpeg;/app/tests/img/img-006.gif;1;1.05
/app/tests/img/img-007.jpeg;/app/tests/img/img-007.jpeg;0;1.04
/app/tests/img/img-007.jpeg;/app/tests/img/img-008.png;0;1.04
/app/tests/img/img-007.jpeg;/app/tests/img/img-009.gif;0;1.08
/app/tests/img/img-007.jpeg;/app/tests/img/img-010.jpg;1;1.07
/app/tests/img/img-007.jpeg;/app/tests/img/img-011.jpg;1;1.08
/app/tests/img/img-007.jpeg;/app/tests/img/img-012.jpg;1;1.21
/app/tests/img/img-007.jpeg;/app/tests/img/img-013.jpg;1;1.24
/app/tests/img/img-008.png;/app/tests/img/img-001.jpeg;1;1.1
/app/tests/img/img-008.png;/app/tests/img/img-002.png;1;1.23
/app/tests/img/img-008.png;/app/tests/img/img-003.gif;1;1.17
/app/tests/img/img-008.png;/app/tests/img/img-004.jpeg;1;1.18
/app/tests/img/img-008.png;/app/tests/img/img-005.png;1;1.05
/app/tests/img/img-008.png;/app/tests/img/img-006.gif;1;1.2
/app/tests/img/img-008.png;/app/tests/img/img-007.jpeg;0;3.61
/app/tests/img/img-008.png;/app/tests/img/img-008.png;0;3.12
/app/tests/img/img-008.png;/app/tests/img/img-009.gif;0;1.51
/app/tests/img/img-008.png;/app/tests/img/img-010.jpg;1;2.59
/app/tests/img/img-008.png;/app/tests/img/img-011.jpg;1;2.1
/app/tests/img/img-008.png;/app/tests/img/img-012.jpg;1;3.91
